TransectName	Samples	Transect	Time	R	ROCK    	LITTER  	ML     	BARESOIL	FallPrec	SprPrec 	SumPrec 	WinPrec 	FallTmax	SprTmax 	SumTmax 	WinTmax 	FallTmin	SprTmin 	SumTmin 	WinTmin 	PCTSAND	PCTSILT	PCTOrgC
D_12_74 	18	3	1974	18	27	15	0	7	68.31999969	65.77999878	88.63999939	116.8399963	13.22999954	10.09000015	22.59000015	-1.289999962	-2.309999943	-4.300000191	3.319999933	-11.92000008	14	46	0.0363
D_12_81 	19	3	1981	12	10	37	0	0	57.40000153	87.12000275	133.0899963	67.05000305	14.56999969	10.42000008	21.95999908	1.899999976	-2.690000057	-3.029999971	3.059999943	-11.27000046	14	46	0.0363
D_12_89 	20	3	1989	11	17	17	0	33	17.52000046	101.3399963	120.1399994	128.0099945	15.93000031	11	22.05999947	-2.769999981	-2.25	-4.110000134	3.809999943	-14.47999954	14	46	0.0363
D_12_94 	21	3	1994	7	26.5	14	0	17.5	21.07999992	60.45000076	125.2200012	88.38999939	13.46000004	12.96000004	22.72999954	-0.159999996	-3.470000029	-3.140000105	3.099999905	-12.93000031	14	46	0.0363
D_12_02 	22	3	2002	10	36	19	1	4	29.20999908	36.06000137	72.38999939	79.75	15.27000046	9.880000114	22.20999908	-1.25999999	-1.950000048	-5.090000153	3.109999895	-13.27000046	14	46	0.0363
F_11_58 	23	4	1958	8	53	10	0	20	33.77999878	107.9499969	181.6100006	105.1500015	13.14000034	11.92000008	21.26000023	-0.200000003	-3.160000086	-3.299999952	3.24000001	-12.10999966	20	42	0.04974
F_11_62 	24	4	1962	9	59	5	3	13	143.5099945	73.40000153	125.7300034	173.4799957	10.77999973	11.38000011	20.95000076	-2.460000038	-3.779999971	-3.450000048	2.680000067	-14.26000023	20	42	0.04974
F_11_67 	25	4	1967	6	45	9	1	30	56.38000107	83.05000305	121.1500015	117.5999985	14.55000019	9.039999962	21.55999947	-0.589999974	-2.420000076	-5.460000038	3.380000114	-12.07999992	20	42	0.04974
F_11_74 	26	4	1974	12	41	12	0	7	68.31999969	65.77999878	88.63999939	116.8399963	13.35999966	10.22000027	22.71999931	-1.159999967	-2.190000057	-4.179999828	3.440000057	-11.80000019	20	42	0.04974
F_11_81 	27	4	1981	13	35	24	0	3	57.40000153	87.12000275	133.0899963	67.05000305	14.69999981	10.55000019	22.10000038	2.019999981	-2.559999943	-2.900000095	3.190000057	-11.14999962	20	42	0.04974
F_11_89 	28	4	1989	10	44	10	0	12	17.52000046	101.3399963	120.1399994	128.0099945	16.05999947	11.14000034	22.20000076	-2.640000105	-2.130000114	-3.980000019	3.930000067	-14.35999966	20	42	0.04974
F_11_94 	29	4	1994	8	53.5	18	0	7.5	21.07999992	60.45000076	125.2200012	88.38999939	13.59000015	13.09000015	22.86000061	-0.039999999	-3.349999905	-3.019999981	3.230000019	-12.81000042	20	42	0.04974
F_11_02 	30	4	2002	8	59	9	5	5	29.20999908	36.06000137	72.38999939	79.75	15.39999962	10.01000023	22.35000038	-1.129999995	-1.830000043	-4.960000038	3.24000001	-13.14999962	20	42	0.04974
G_12_58 	31	5	1958	13	15	23	0	20	41.13999939	101.8499985	134.8699951	89.66000366	13.21000004	11.86999989	21.37999916	-0.170000002	-3.25	-3.420000076	3.24000001	-12.32999992	20	35	0.05784
G_12_62 	32	5	1962	16	20	21	0	19	153.4100037	118.6100006	161.7899933	213.8600006	10.92000008	11.43999958	21.09000015	-2.380000114	-3.75999999	-3.49000001	2.710000038	-14.35000038	20	35	0.05784
